center_id,name,country,region,city,district,center_type,address,latitude,longitude,min_grade,max_grade,min_age,max_age,cost_level,monthly_fee_uzs,membership_required,subjects,resources,utilities,affiliations,languages,accessibility_notes,phone,telegram,website,open_schedule_json,eligibility_notes,events_json,description,search_keywords,verification_status
UZ001,[Demo] Nukus STEM and Robotics Academy,Uzbekistan,Republic of Karakalpakstan,Nukus,Central District,STEM / Robotics Center,"Demonstration address 1, Nukus",42.4602,59.6166,5,11,10,20,Moderate,650000,No,Mathematics|Robotics|Python|Physics|Engineering,Robotics kits|Computer lab|Project mentoring|Competition preparation,WiFi|Computers|Projector|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_nukus_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Robotics Open Lab"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}, {""program"": ""Python Mini-Project Day"", ""frequency"": ""Every six weeks"", ""audience"": ""Grades 7–11""}]","Project-based STEM, coding, robotics, and engineering practice for school students.",robototexnika dasturlash coding matematika fizika инженерия программирование,Synthetic demo record — not a verified real-world listing.
UZ002,[Demo] Beruniy Language and Exam Preparation Center,Uzbekistan,Republic of Karakalpakstan,Beruniy,Beruniy District,Language / Exam Prep Center,"Demonstration address 2, Beruniy",41.6911,60.7525,6,11,12,24,Moderate,780000,No,English|IELTS|CEFR|Russian|Academic Writing,Speaking club|Mock exams|Writing review|Audio lab,WiFi|Quiet classrooms|Library corner|Air conditioning,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_beruniy_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""IELTS Speaking Practice"", ""frequency"": ""Weekly"", ""audience"": ""Teen and adult learners""}, {""program"": ""CEFR Mock Test"", ""frequency"": ""Monthly"", ""audience"": ""Grades 8–11""}]","Language learning and exam preparation with speaking, writing, and mock-test support.",ingliz tili IELTS CEFR rus tili английский русский язык imtihon,Synthetic demo record — not a verified real-world listing.
UZ003,[Demo] Andijan Mathematics and University Readiness Hub,Uzbekistan,Andijan Region,Andijan,City Center,Tutoring / University Prep Center,"Demonstration address 3, Andijan",40.7821,72.3442,7,11,13,22,Low-cost,480000,No,Mathematics|Physics|Chemistry|University Entrance|Study Skills,Practice bank|Small-group tutoring|Mock tests|Parent progress reports,WiFi|Study rooms|Printer|Waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_andijan_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""University Entrance Strategy Session"", ""frequency"": ""Monthly"", ""audience"": ""Grades 10–11""}, {""program"": ""Mathematics Problem-Solving Clinic"", ""frequency"": ""Weekly"", ""audience"": ""Grades 7–11""}]",Structured tutoring and university-readiness support focused on mathematics and sciences.,matematika fizika kimyo abituriyent test подготовка математика физика,Synthetic demo record — not a verified real-world listing.
UZ004,[Demo] Asaka Family Learning and Teacher Resource Hub,Uzbekistan,Andijan Region,Asaka,Asaka District,Family / Teacher Resource Center,"Demonstration address 4, Asaka",40.6415,72.2387,1,11,6,25,Free / subsidized,0,No,Reading|Early Learning|Teacher Resources|Digital Literacy|Homework Help,Reading kits|Lesson plans|Parent workshops|Teacher lending library,WiFi|Child-friendly area|Meeting room|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|Karakalpak,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_asaka_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Family Reading Day"", ""frequency"": ""Monthly"", ""audience"": ""Families""}, {""program"": ""Teacher Resource Exchange"", ""frequency"": ""Quarterly"", ""audience"": ""Teachers""}]","A community learning hub supporting families, younger learners, and teachers with shared resources.",oila ota-ona o'qituvchi kitob reading teacher семья родители учитель,Synthetic demo record — not a verified real-world listing.
UZ005,[Demo] Bukhara Digital Skills and Career Studio,Uzbekistan,Bukhara Region,Bukhara,Old City District,IT / Career Skills Center,"Demonstration address 5, Bukhara",39.7681,64.4556,8,11,14,25,Moderate,850000,No,Python|Web Development|Data Analysis|Graphic Design|Career Skills,Computer lab|Portfolio reviews|Career mentoring|Online course access,WiFi|Computers|Coworking desks|Projector,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_bukhara_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Portfolio Review"", ""frequency"": ""Monthly"", ""audience"": ""Grades 9–11 and young adults""}, {""program"": ""Web Development Sprint"", ""frequency"": ""Every two months"", ""audience"": ""Beginner coders""}]","Digital-skills training for coding, data, design, portfolios, and early career preparation.",IT dasturlash python web data dizayn kasb программирование дизайн карьера,Synthetic demo record — not a verified real-world listing.
UZ006,[Demo] Gijduvan Creative Arts and Culture Learning Center,Uzbekistan,Bukhara Region,Gijduvan,Gijduvan District,Arts / Culture Center,"Demonstration address 6, Gijduvan",40.1,64.6833,1,11,6,22,Low-cost,350000,No,Visual Arts|Music|Creative Writing|Public Speaking|Cultural Studies,Art studio|Music practice room|Writing circle|Exhibition space,WiFi|Studio rooms|Performance area|Family waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_gijduvan_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Student Art Exhibition"", ""frequency"": ""Quarterly"", ""audience"": ""All learners""}, {""program"": ""Young Speakers Workshop"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}]","Creative learning through art, music, writing, public speaking, and local cultural projects.",san'at musiqa rasm ijod writing искусство музыка творчество,Synthetic demo record — not a verified real-world listing.
UZ007,[Demo] Fergana STEM and Robotics Academy,Uzbekistan,Fergana Region,Fergana,Yangi Hayot District,STEM / Robotics Center,"Demonstration address 7, Fergana",40.3894,71.787,5,11,10,20,Moderate,650000,Yes,Mathematics|Robotics|Python|Physics|Engineering,Robotics kits|Computer lab|Project mentoring|Competition preparation,WiFi|Computers|Projector|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_fergana_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Robotics Open Lab"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}, {""program"": ""Python Mini-Project Day"", ""frequency"": ""Every six weeks"", ""audience"": ""Grades 7–11""}]","Project-based STEM, coding, robotics, and engineering practice for school students.",robototexnika dasturlash coding matematika fizika инженерия программирование,Synthetic demo record — not a verified real-world listing.
UZ008,[Demo] Kokand Language and Exam Preparation Center,Uzbekistan,Fergana Region,Kokand,Central District,Language / Exam Prep Center,"Demonstration address 8, Kokand",40.5286,70.9425,6,11,12,24,Moderate,780000,No,English|IELTS|CEFR|Russian|Academic Writing,Speaking club|Mock exams|Writing review|Audio lab,WiFi|Quiet classrooms|Library corner|Air conditioning,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_kokand_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""IELTS Speaking Practice"", ""frequency"": ""Weekly"", ""audience"": ""Teen and adult learners""}, {""program"": ""CEFR Mock Test"", ""frequency"": ""Monthly"", ""audience"": ""Grades 8–11""}]","Language learning and exam preparation with speaking, writing, and mock-test support.",ingliz tili IELTS CEFR rus tili английский русский язык imtihon,Synthetic demo record — not a verified real-world listing.
UZ009,[Demo] Jizzakh Mathematics and University Readiness Hub,Uzbekistan,Jizzakh Region,Jizzakh,Shodlik District,Tutoring / University Prep Center,"Demonstration address 9, Jizzakh",40.125,67.8808,7,11,13,22,Low-cost,480000,No,Mathematics|Physics|Chemistry|University Entrance|Study Skills,Practice bank|Small-group tutoring|Mock tests|Parent progress reports,WiFi|Study rooms|Printer|Waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_jizzakh_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""University Entrance Strategy Session"", ""frequency"": ""Monthly"", ""audience"": ""Grades 10–11""}, {""program"": ""Mathematics Problem-Solving Clinic"", ""frequency"": ""Weekly"", ""audience"": ""Grades 7–11""}]",Structured tutoring and university-readiness support focused on mathematics and sciences.,matematika fizika kimyo abituriyent test подготовка математика физика,Synthetic demo record — not a verified real-world listing.
UZ010,[Demo] Dustlik Family Learning and Teacher Resource Hub,Uzbekistan,Jizzakh Region,Dustlik,Dustlik District,Family / Teacher Resource Center,"Demonstration address 10, Dustlik",40.5247,68.0358,1,11,6,25,Free / subsidized,0,No,Reading|Early Learning|Teacher Resources|Digital Literacy|Homework Help,Reading kits|Lesson plans|Parent workshops|Teacher lending library,WiFi|Child-friendly area|Meeting room|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|Karakalpak,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_dustlik_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Family Reading Day"", ""frequency"": ""Monthly"", ""audience"": ""Families""}, {""program"": ""Teacher Resource Exchange"", ""frequency"": ""Quarterly"", ""audience"": ""Teachers""}]","A community learning hub supporting families, younger learners, and teachers with shared resources.",oila ota-ona o'qituvchi kitob reading teacher семья родители учитель,Synthetic demo record — not a verified real-world listing.
UZ011,[Demo] Namangan Digital Skills and Career Studio,Uzbekistan,Namangan Region,Namangan,Davlatobod District,IT / Career Skills Center,"Demonstration address 11, Namangan",40.9983,71.6726,8,11,14,25,Moderate,850000,No,Python|Web Development|Data Analysis|Graphic Design|Career Skills,Computer lab|Portfolio reviews|Career mentoring|Online course access,WiFi|Computers|Coworking desks|Projector,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_namangan_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Portfolio Review"", ""frequency"": ""Monthly"", ""audience"": ""Grades 9–11 and young adults""}, {""program"": ""Web Development Sprint"", ""frequency"": ""Every two months"", ""audience"": ""Beginner coders""}]","Digital-skills training for coding, data, design, portfolios, and early career preparation.",IT dasturlash python web data dizayn kasb программирование дизайн карьера,Synthetic demo record — not a verified real-world listing.
UZ012,[Demo] Chust Creative Arts and Culture Learning Center,Uzbekistan,Namangan Region,Chust,Chust District,Arts / Culture Center,"Demonstration address 12, Chust",41.0033,71.2375,1,11,6,22,Low-cost,350000,No,Visual Arts|Music|Creative Writing|Public Speaking|Cultural Studies,Art studio|Music practice room|Writing circle|Exhibition space,WiFi|Studio rooms|Performance area|Family waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_chust_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Student Art Exhibition"", ""frequency"": ""Quarterly"", ""audience"": ""All learners""}, {""program"": ""Young Speakers Workshop"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}]","Creative learning through art, music, writing, public speaking, and local cultural projects.",san'at musiqa rasm ijod writing искусство музыка творчество,Synthetic demo record — not a verified real-world listing.
UZ013,[Demo] Navoiy STEM and Robotics Academy,Uzbekistan,Navoiy Region,Navoiy,Karmana District,STEM / Robotics Center,"Demonstration address 13, Navoiy",40.1039,65.3688,5,11,10,20,Moderate,650000,No,Mathematics|Robotics|Python|Physics|Engineering,Robotics kits|Computer lab|Project mentoring|Competition preparation,WiFi|Computers|Projector|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_navoiy_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Robotics Open Lab"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}, {""program"": ""Python Mini-Project Day"", ""frequency"": ""Every six weeks"", ""audience"": ""Grades 7–11""}]","Project-based STEM, coding, robotics, and engineering practice for school students.",robototexnika dasturlash coding matematika fizika инженерия программирование,Synthetic demo record — not a verified real-world listing.
