center_id,name,country,region,city,district,center_type,address,latitude,longitude,min_grade,max_grade,min_age,max_age,cost_level,monthly_fee_uzs,membership_required,subjects,resources,utilities,affiliations,languages,accessibility_notes,phone,telegram,website,open_schedule_json,eligibility_notes,events_json,description,search_keywords,verification_status
UZ014,[Demo] Zarafshan Language and Exam Preparation Center,Uzbekistan,Navoiy Region,Zarafshan,Central District,Language / Exam Prep Center,"Demonstration address 14, Zarafshan",41.5758,64.2017,6,11,12,24,Moderate,780000,Yes,English|IELTS|CEFR|Russian|Academic Writing,Speaking club|Mock exams|Writing review|Audio lab,WiFi|Quiet classrooms|Library corner|Air conditioning,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_zarafshan_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""IELTS Speaking Practice"", ""frequency"": ""Weekly"", ""audience"": ""Teen and adult learners""}, {""program"": ""CEFR Mock Test"", ""frequency"": ""Monthly"", ""audience"": ""Grades 8–11""}]","Language learning and exam preparation with speaking, writing, and mock-test support.",ingliz tili IELTS CEFR rus tili английский русский язык imtihon,Synthetic demo record — not a verified real-world listing.
UZ015,[Demo] Qarshi Mathematics and University Readiness Hub,Uzbekistan,Qashqadaryo Region,Qarshi,Mustaqillik District,Tutoring / University Prep Center,"Demonstration address 15, Qarshi",38.861,65.7847,7,11,13,22,Low-cost,480000,No,Mathematics|Physics|Chemistry|University Entrance|Study Skills,Practice bank|Small-group tutoring|Mock tests|Parent progress reports,WiFi|Study rooms|Printer|Waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_qarshi_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""University Entrance Strategy Session"", ""frequency"": ""Monthly"", ""audience"": ""Grades 10–11""}, {""program"": ""Mathematics Problem-Solving Clinic"", ""frequency"": ""Weekly"", ""audience"": ""Grades 7–11""}]",Structured tutoring and university-readiness support focused on mathematics and sciences.,matematika fizika kimyo abituriyent test подготовка математика физика,Synthetic demo record — not a verified real-world listing.
UZ016,[Demo] Shahrisabz Family Learning and Teacher Resource Hub,Uzbekistan,Qashqadaryo Region,Shahrisabz,City Center,Family / Teacher Resource Center,"Demonstration address 16, Shahrisabz",39.0578,66.8342,1,11,6,25,Free / subsidized,0,No,Reading|Early Learning|Teacher Resources|Digital Literacy|Homework Help,Reading kits|Lesson plans|Parent workshops|Teacher lending library,WiFi|Child-friendly area|Meeting room|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|Karakalpak,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_shahrisabz_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Family Reading Day"", ""frequency"": ""Monthly"", ""audience"": ""Families""}, {""program"": ""Teacher Resource Exchange"", ""frequency"": ""Quarterly"", ""audience"": ""Teachers""}]","A community learning hub supporting families, younger learners, and teachers with shared resources.",oila ota-ona o'qituvchi kitob reading teacher семья родители учитель,Synthetic demo record — not a verified real-world listing.
UZ017,[Demo] Samarkand Digital Skills and Career Studio,Uzbekistan,Samarqand Region,Samarkand,University District,IT / Career Skills Center,"Demonstration address 17, Samarkand",39.6542,66.9597,8,11,14,25,Moderate,850000,No,Python|Web Development|Data Analysis|Graphic Design|Career Skills,Computer lab|Portfolio reviews|Career mentoring|Online course access,WiFi|Computers|Coworking desks|Projector,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_samarkand_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Portfolio Review"", ""frequency"": ""Monthly"", ""audience"": ""Grades 9–11 and young adults""}, {""program"": ""Web Development Sprint"", ""frequency"": ""Every two months"", ""audience"": ""Beginner coders""}]","Digital-skills training for coding, data, design, portfolios, and early career preparation.",IT dasturlash python web data dizayn kasb программирование дизайн карьера,Synthetic demo record — not a verified real-world listing.
UZ018,[Demo] Kattakurgan Creative Arts and Culture Learning Center,Uzbekistan,Samarqand Region,Kattakurgan,Central District,Arts / Culture Center,"Demonstration address 18, Kattakurgan",39.8989,66.2561,1,11,6,22,Low-cost,350000,No,Visual Arts|Music|Creative Writing|Public Speaking|Cultural Studies,Art studio|Music practice room|Writing circle|Exhibition space,WiFi|Studio rooms|Performance area|Family waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_kattakurgan_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Student Art Exhibition"", ""frequency"": ""Quarterly"", ""audience"": ""All learners""}, {""program"": ""Young Speakers Workshop"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}]","Creative learning through art, music, writing, public speaking, and local cultural projects.",san'at musiqa rasm ijod writing искусство музыка творчество,Synthetic demo record — not a verified real-world listing.
UZ019,[Demo] Gulistan STEM and Robotics Academy,Uzbekistan,Sirdaryo Region,Gulistan,Do‘stlik District,STEM / Robotics Center,"Demonstration address 19, Gulistan",40.4897,68.7842,5,11,10,20,Moderate,650000,No,Mathematics|Robotics|Python|Physics|Engineering,Robotics kits|Computer lab|Project mentoring|Competition preparation,WiFi|Computers|Projector|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_gulistan_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Robotics Open Lab"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}, {""program"": ""Python Mini-Project Day"", ""frequency"": ""Every six weeks"", ""audience"": ""Grades 7–11""}]","Project-based STEM, coding, robotics, and engineering practice for school students.",robototexnika dasturlash coding matematika fizika инженерия программирование,Synthetic demo record — not a verified real-world listing.
UZ020,[Demo] Yangiyer Language and Exam Preparation Center,Uzbekistan,Sirdaryo Region,Yangiyer,Central District,Language / Exam Prep Center,"Demonstration address 20, Yangiyer",40.275,68.8225,6,11,12,24,Moderate,780000,No,English|IELTS|CEFR|Russian|Academic Writing,Speaking club|Mock exams|Writing review|Audio lab,WiFi|Quiet classrooms|Library corner|Air conditioning,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_yangiyer_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""IELTS Speaking Practice"", ""frequency"": ""Weekly"", ""audience"": ""Teen and adult learners""}, {""program"": ""CEFR Mock Test"", ""frequency"": ""Monthly"", ""audience"": ""Grades 8–11""}]","Language learning and exam preparation with speaking, writing, and mock-test support.",ingliz tili IELTS CEFR rus tili английский русский язык imtihon,Synthetic demo record — not a verified real-world listing.
UZ021,[Demo] Termez Mathematics and University Readiness Hub,Uzbekistan,Surxondaryo Region,Termez,Alpomish District,Tutoring / University Prep Center,"Demonstration address 21, Termez",37.2242,67.2783,7,11,13,22,Low-cost,480000,Yes,Mathematics|Physics|Chemistry|University Entrance|Study Skills,Practice bank|Small-group tutoring|Mock tests|Parent progress reports,WiFi|Study rooms|Printer|Waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_termez_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""University Entrance Strategy Session"", ""frequency"": ""Monthly"", ""audience"": ""Grades 10–11""}, {""program"": ""Mathematics Problem-Solving Clinic"", ""frequency"": ""Weekly"", ""audience"": ""Grades 7–11""}]",Structured tutoring and university-readiness support focused on mathematics and sciences.,matematika fizika kimyo abituriyent test подготовка математика физика,Synthetic demo record — not a verified real-world listing.
UZ022,[Demo] Denau Family Learning and Teacher Resource Hub,Uzbekistan,Surxondaryo Region,Denau,Denau District,Family / Teacher Resource Center,"Demonstration address 22, Denau",38.2764,67.8878,1,11,6,25,Free / subsidized,0,No,Reading|Early Learning|Teacher Resources|Digital Literacy|Homework Help,Reading kits|Lesson plans|Parent workshops|Teacher lending library,WiFi|Child-friendly area|Meeting room|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|Karakalpak,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_denau_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Family Reading Day"", ""frequency"": ""Monthly"", ""audience"": ""Families""}, {""program"": ""Teacher Resource Exchange"", ""frequency"": ""Quarterly"", ""audience"": ""Teachers""}]","A community learning hub supporting families, younger learners, and teachers with shared resources.",oila ota-ona o'qituvchi kitob reading teacher семья родители учитель,Synthetic demo record — not a verified real-world listing.
UZ023,[Demo] Chirchiq Digital Skills and Career Studio,Uzbekistan,Tashkent Region,Chirchiq,Central District,IT / Career Skills Center,"Demonstration address 23, Chirchiq",41.4689,69.5822,8,11,14,25,Moderate,850000,No,Python|Web Development|Data Analysis|Graphic Design|Career Skills,Computer lab|Portfolio reviews|Career mentoring|Online course access,WiFi|Computers|Coworking desks|Projector,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_chirchiq_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Portfolio Review"", ""frequency"": ""Monthly"", ""audience"": ""Grades 9–11 and young adults""}, {""program"": ""Web Development Sprint"", ""frequency"": ""Every two months"", ""audience"": ""Beginner coders""}]","Digital-skills training for coding, data, design, portfolios, and early career preparation.",IT dasturlash python web data dizayn kasb программирование дизайн карьера,Synthetic demo record — not a verified real-world listing.
UZ024,[Demo] Angren Creative Arts and Culture Learning Center,Uzbekistan,Tashkent Region,Angren,Yangiobod District,Arts / Culture Center,"Demonstration address 24, Angren",41.0167,70.1436,1,11,6,22,Low-cost,350000,No,Visual Arts|Music|Creative Writing|Public Speaking|Cultural Studies,Art studio|Music practice room|Writing circle|Exhibition space,WiFi|Studio rooms|Performance area|Family waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_angren_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Student Art Exhibition"", ""frequency"": ""Quarterly"", ""audience"": ""All learners""}, {""program"": ""Young Speakers Workshop"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}]","Creative learning through art, music, writing, public speaking, and local cultural projects.",san'at musiqa rasm ijod writing искусство музыка творчество,Synthetic demo record — not a verified real-world listing.
UZ025,[Demo] Urgench STEM and Robotics Academy,Uzbekistan,Khorezm Region,Urgench,Al-Khwarizmi District,STEM / Robotics Center,"Demonstration address 25, Urgench",41.55,60.6333,5,11,10,20,Moderate,650000,No,Mathematics|Robotics|Python|Physics|Engineering,Robotics kits|Computer lab|Project mentoring|Competition preparation,WiFi|Computers|Projector|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_urgench_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Robotics Open Lab"", ""frequency"": ""Monthly"", ""audience"": ""Grades 5–11""}, {""program"": ""Python Mini-Project Day"", ""frequency"": ""Every six weeks"", ""audience"": ""Grades 7–11""}]","Project-based STEM, coding, robotics, and engineering practice for school students.",robototexnika dasturlash coding matematika fizika инженерия программирование,Synthetic demo record — not a verified real-world listing.
UZ026,[Demo] Khiva Language and Exam Preparation Center,Uzbekistan,Khorezm Region,Khiva,Ichan-Qala District,Language / Exam Prep Center,"Demonstration address 26, Khiva",41.3783,60.3639,6,11,12,24,Moderate,780000,No,English|IELTS|CEFR|Russian|Academic Writing,Speaking club|Mock exams|Writing review|Audio lab,WiFi|Quiet classrooms|Library corner|Air conditioning,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|English,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_khiva_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""IELTS Speaking Practice"", ""frequency"": ""Weekly"", ""audience"": ""Teen and adult learners""}, {""program"": ""CEFR Mock Test"", ""frequency"": ""Monthly"", ""audience"": ""Grades 8–11""}]","Language learning and exam preparation with speaking, writing, and mock-test support.",ingliz tili IELTS CEFR rus tili английский русский язык imtihon,Synthetic demo record — not a verified real-world listing.
UZ027,[Demo] Tashkent Mathematics and University Readiness Hub,Uzbekistan,Tashkent City,Tashkent,Mirzo Ulugbek District,Tutoring / University Prep Center,"Demonstration address 27, Tashkent",41.3385,69.3342,7,11,13,22,Low-cost,480000,No,Mathematics|Physics|Chemistry|University Entrance|Study Skills,Practice bank|Small-group tutoring|Mock tests|Parent progress reports,WiFi|Study rooms|Printer|Waiting area,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_tashkent_learning,,"[{""day"": ""Monday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""14:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""10:00"", ""end"": ""15:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""University Entrance Strategy Session"", ""frequency"": ""Monthly"", ""audience"": ""Grades 10–11""}, {""program"": ""Mathematics Problem-Solving Clinic"", ""frequency"": ""Weekly"", ""audience"": ""Grades 7–11""}]",Structured tutoring and university-readiness support focused on mathematics and sciences.,matematika fizika kimyo abituriyent test подготовка математика физика,Synthetic demo record — not a verified real-world listing.
UZ028,[Demo] Tashkent Family Learning and Teacher Resource Hub,Uzbekistan,Tashkent City,Tashkent,Chilonzor District,Family / Teacher Resource Center,"Demonstration address 28, Tashkent",41.2756,69.2034,1,11,6,25,Free / subsidized,0,Yes,Reading|Early Learning|Teacher Resources|Digital Literacy|Homework Help,Reading kits|Lesson plans|Parent workshops|Teacher lending library,WiFi|Child-friendly area|Meeting room|Accessible entrance,Community volunteers|Local educators|Demonstration partners,Uzbek|Russian|Karakalpak,Demonstration field; verify accessibility directly with the center.,+998 00 000 00 00 (demo),@demo_tashkent_learning,,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""18:00""}]","Demo eligibility profile. Confirm actual admissions, age limits, documents, and fees.","[{""program"": ""Family Reading Day"", ""frequency"": ""Monthly"", ""audience"": ""Families""}, {""program"": ""Teacher Resource Exchange"", ""frequency"": ""Quarterly"", ""audience"": ""Teachers""}]","A community learning hub supporting families, younger learners, and teachers with shared resources.",oila ota-ona o'qituvchi kitob reading teacher семья родители учитель,Synthetic demo record — not a verified real-world listing.
